grid_size;block_size;type;time
2048;64;naive;47.9965
2048;64;naive;46.3457
2048;64;naive;45.7544
2048;64;naive;45.8869
2048;64;naive;46.0464
2048;64;shared;45.4128
2048;64;shared;46.242
2048;64;shared;45.6105
2048;64;shared;48.2197
2048;64;shared;47.042
2048;128;naive;45.9084
2048;128;naive;45.6356
2048;128;naive;47.2416
2048;128;naive;55.5299
2048;128;naive;46.4322
2048;128;shared;48.666
2048;128;shared;47.7281
2048;128;shared;48.3375
2048;128;shared;46.4047
2048;128;shared;46.476
2048;256;naive;45.9727
2048;256;naive;46.6226
2048;256;naive;46.0064
2048;256;naive;45.8386
2048;256;naive;45.9617
2048;256;shared;47.79
2048;256;shared;47.5536
2048;256;shared;48.7305
2048;256;shared;46.5108
2048;256;shared;46.8061
2048;512;naive;47.8804
2048;512;naive;48.6824
2048;512;naive;48.1394
2048;512;naive;48.3068
2048;512;naive;51.8013
2048;512;shared;52.6006
2048;512;shared;43.3051
2048;512;shared;40.8592
2048;512;shared;39.7134
2048;512;shared;40.1679
2048;1024;naive;40.6492
2048;1024;naive;40.4764
2048;1024;naive;40.8142
2048;1024;naive;39.9379
2048;1024;naive;39.9409
2048;1024;shared;40.0064
2048;1024;shared;40.633
2048;1024;shared;40.753
2048;1024;shared;40.2621
2048;1024;shared;40.7129
4096;64;naive;162.526
4096;64;naive;166.953
4096;64;naive;168.775
4096;64;naive;163.891
4096;64;naive;162.919
4096;64;shared;163.275
4096;64;shared;164.239
4096;64;shared;167.31
4096;64;shared;181.554
4096;64;shared;163.114
4096;128;naive;163.511
4096;128;naive;162.52
4096;128;naive;164.622
4096;128;naive;166.114
4096;128;naive;167.966
4096;128;shared;161.99
4096;128;shared;163.719
4096;128;shared;163.428
4096;128;shared;163.363
4096;128;shared;162.029
4096;256;naive;164.819
4096;256;naive;164.953
4096;256;naive;162.899
4096;256;naive;162.896
4096;256;naive;162.725
4096;256;shared;164.367
4096;256;shared;165.399
4096;256;shared;168.217
4096;256;shared;162.561
4096;256;shared;163.574
4096;512;naive;163.511
4096;512;naive;165.271
4096;512;naive;164.212
4096;512;naive;166.889
4096;512;naive;163.8
4096;512;shared;165.487
4096;512;shared;163.613
4096;512;shared;164.545
4096;512;shared;164.559
4096;512;shared;165.264
4096;1024;naive;164.568
4096;1024;naive;161.487
4096;1024;naive;161.791
4096;1024;naive;163.157
4096;1024;naive;163.128
4096;1024;shared;167.37
4096;1024;shared;164.01
4096;1024;shared;162.151
4096;1024;shared;162.051
4096;1024;shared;162.888
8192;64;naive;650.277
8192;64;naive;669.809
8192;64;naive;760.49
8192;64;naive;775.158
8192;64;naive;723.609
8192;64;shared;640.717
8192;64;shared;646.19
8192;64;shared;646.187
8192;64;shared;641.848
8192;64;shared;650.329
8192;128;naive;643.818
8192;128;naive;645.672
8192;128;naive;653.074
8192;128;naive;645.685
8192;128;naive;646.356
8192;128;shared;643.518
8192;128;shared;643.496
8192;128;shared;644.474
8192;128;shared;656.113
8192;128;shared;653.53
8192;256;naive;757.384
8192;256;naive;771.519
8192;256;naive;746.479
8192;256;naive;647.113
8192;256;naive;637.794
8192;256;shared;642.909
8192;256;shared;639.706
8192;256;shared;648.691
8192;256;shared;643.713
8192;256;shared;648.356
8192;512;naive;646.683
8192;512;naive;646.185
8192;512;naive;642.321
8192;512;naive;645.375
8192;512;naive;644.933
8192;512;shared;640.07
8192;512;shared;642.047
8192;512;shared;647.169
8192;512;shared;717.284
8192;512;shared;758.839
8192;1024;naive;774.085
8192;1024;naive;663.059
8192;1024;naive;642.965
8192;1024;naive;644.323
8192;1024;naive;642.855
8192;1024;shared;643.394
8192;1024;shared;648.31
8192;1024;shared;642.87
8192;1024;shared;652.014
8192;1024;shared;642.54
16384;64;naive;2564.53
16384;64;naive;2754.12
16384;64;naive;2738.97
16384;64;naive;2608.62
16384;64;naive;2610.01
16384;64;shared;2588.28
16384;64;shared;2890.34
16384;64;shared;2594.62
16384;64;shared;2589.21
16384;64;shared;2568.76
16384;128;naive;2725.56
16384;128;naive;2759.58
16384;128;naive;2565.67
16384;128;naive;2570.76
16384;128;naive;2562.1
16384;128;shared;2839.81
16384;128;shared;2581.53
16384;128;shared;2565.36
16384;128;shared;2575.27
16384;128;shared;2688.02
16384;256;naive;2827.19
16384;256;naive;2578.6
16384;256;naive;2583.09
16384;256;naive;2574.79
16384;256;naive;2750.64
16384;256;shared;2573.02
16384;256;shared;2607.05
16384;256;shared;2634.98
16384;256;shared;2760.03
16384;256;shared;2608.16
16384;512;naive;2566.88
16384;512;naive;2581.22
16384;512;naive;2610.21
16384;512;naive;2811.97
16384;512;naive;2560.1
16384;512;shared;2576.59
16384;512;shared;2587.45
16384;512;shared;2784.33
16384;512;shared;2621.91
16384;512;shared;2602.87
16384;1024;naive;2570.8
16384;1024;naive;2734.92
16384;1024;naive;2588.2
16384;1024;naive;2609.48
16384;1024;naive;2598.56
16384;1024;shared;2696.23
16384;1024;shared;2725.01
16384;1024;shared;2584.91
16384;1024;shared;2596.72
16384;1024;shared;2609.98