bytes;throughput
100;128.61450833
200;232.757461302
300;337.400585555
400;454.613199655
500;531.482108604
600;641.516851534
700;746.17755314
800;831.815066445
900;925.506173823
1000;1030.95631228
1100;1104.60819196
1200;1193.23562105
1300;1310.71803077
1400;1393.74174235
1500;1493.27257192
1600;1567.19744868
1700;1652.70499339
1800;1736.60455414
1900;1836.35355182
2000;1886.38926446
2100;1985.60922015
2200;2049.36454493
2300;2126.43966148
2400;2172.59596051
2500;2271.39957949
2600;2342.7083857
2700;2464.53954005
2800;2529.30457619
2900;2503.38889311
3000;2654.47228071
3100;2678.5102235
3200;2764.10236846
3300;2795.5284925
3400;2944.73495336
3500;2984.85244818
3600;2970.74785671
3700;3015.13618718
3800;3091.54336354
3900;3172.68053124
4000;3242.63203162
4100;3303.43028727
4200;3262.43657076
4300;3302.85861837
4400;3547.69181306
4500;3580.76056953
4600;3672.13708326
4700;3593.73865804
4800;3593.52549373
4900;3648.03819844
5000;3786.11362482
5100;3993.52185815
5200;3947.214091
5300;3763.65807646
5400;4041.44927834
5500;4104.38987721
5600;4144.91200725
5700;4202.39545441
5800;4112.31906992
5900;4310.54722098
6000;4332.25938478
6100;4520.85219469
6200;4462.76256159
6300;4530.961642
6400;4559.21482823
6500;4502.05867023
6600;4733.86105539
6700;4772.98882306
6800;4920.73151222
6900;4728.50515687
7000;4805.37623673
7100;4733.57766936
7200;5011.35496558
7300;5020.78649795
7400;4989.93276428
7500;4937.79620411
7600;4840.5950993
7700;5127.01243211
7800;4925.6158719
7900;5489.29006179
8000;5347.22397407
8100;4973.13719219
8200;5407.07030562
8300;5158.43395024
8400;5437.74255645
8500;5207.81341811
8600;5374.6237059
8700;5459.11711937
8800;5663.13553654
8900;5633.16667421
9000;5674.88025978
9100;5629.52825731
9200;5549.47731138
9300;5796.69197804
9400;5503.88452391
9500;5639.66972328
9600;5776.83272389
9700;5985.37832999
9800;5774.43253442
9900;5589.1967204
10000;5893.36473704
10100;5565.35915723
10200;6377.04794032
10300;6109.43343822
10400;6021.49473197
10500;5943.80697558
10600;5813.53920184
10700;6182.88000441
10800;6184.48375751
10900;6316.91381465
11000;6290.0746853
11100;5880.70560094
11200;6063.54846277
11300;6242.44349632
11400;6314.86670651
11500;6486.75491601
11600;6197.15309331
11700;5808.47308535
11800;6531.80425487
11900;6148.57588445
12000;6867.92728054
12100;6403.63370416
12200;6094.38446227
12300;6552.66875023
12400;6150.45132337
12500;6492.3085496
12600;6721.56087882
12700;6121.39157166
12800;6491.61682694
12900;6235.95778846
13000;6664.83240806
13100;6894.91753873
13200;6854.52504954
13300;6785.34665141
13400;6595.6592485
13500;6525.05289359
13600;6894.34700146
13700;6866.98756327
13800;7107.81676139
13900;6769.90143285
14000;6156.6030315
14100;6907.95416477
14200;6353.75185223
14300;7244.55147132
14400;7386.23443519
14500;6274.72385383
14600;7020.70129237
14700;6605.15007914
14800;7132.95490891
14900;7019.64723243
15000;6982.74321397
15100;7081.76450396
15200;7309.31753841
15300;7044.64607633
15400;6754.47027737
15500;7118.17457189
15600;6995.64035306
15700;7126.19370687
15800;6528.74274174
15900;6977.48331109
16000;6971.22686736
16100;7190.25775856
16200;7030.20981275
16300;6676.95680905
16400;7320.76407816
16500;6726.47143047
16600;7661.22436034
16700;7353.03051783
16800;6982.15128969
16900;7211.05636329
17000;6759.10666212
17100;7575.7489647
17200;7488.6915063
17300;7527.58596516
17400;7477.06178003
17500;7242.71257645
17600;7514.75608327
17700;7401.27019321
17800;7479.01483735
17900;7925.37220822
18000;7291.40365427
18100;6868.52085091
18200;7407.26270228
18300;7146.79396781
18400;8275.87728302
18500;7295.83060465
18600;7113.45842938
18700;7578.46227725
18800;7323.48841497
18900;7700.03071616
19000;7790.11213494
19100;7496.33775588
19200;7696.03499647
19300;7347.40379203
19400;7833.09895582
19500;7631.29937427
19600;7746.4755671
19700;7873.32017664
19800;7689.94450068
19900;7361.62034471
20000;7807.7685762
20100;7833.42837829
20200;7978.10582121
20300;7697.8014227
20400;7222.9968787
20500;7929.12945272
20600;7583.75444841
20700;8252.12894948
20800;8118.49720623
20900;7114.88957472
21000;8010.26597323
21100;7628.89974656
21200;8283.9981018
21300;8037.29699373
21400;8104.87580287
21500;8343.89056788
21600;8369.97898427
21700;8291.65391998
21800;8127.84131141
21900;8237.05004047
22000;8286.23067835
22100;8106.53895944
22200;7582.62916892
22300;8215.10534353
22400;8168.15443458
22500;8464.42574236
22600;8124.25081006
22700;7842.80330584
22800;8309.28710794
22900;7788.30484805
23000;8887.79281562
23100;8306.73630355
23200;8060.68658792
23300;8366.46648756
23400;7817.85450657
23500;8552.75261007
23600;8493.99107572
23700;8728.61901584
23800;8524.54403252
23900;8146.02516484
24000;8136.28567806
24100;8122.05055756
24200;8404.90117878
24300;8696.26522257
24400;8208.19177655
24500;7678.82591294
24600;8357.30208994
24700;7871.3084751
24800;9125.5514766
24900;8250.09992184
25000;7775.64604651
25100;8570.8756962
25200;8007.25076668
25300;8772.01981055
25400;8644.61539195
25500;8080.46882769
25600;8850.78036554
25700;8090.71920942
25800;8640.59176927
25900;8600.25223824
26000;8477.93198046
26100;8828.93862886
26200;8367.82417716
26300;7773.39410302
26400;8510.4296425
26500;8676.94873658
26600;9071.48445429
26700;8254.84169126
26800;7875.94772191
26900;8557.72243399
27000;8021.24251968
27100;9437.04253142
27200;9255.29678933
27300;7908.58171376
27400;8667.53496931
27500;8147.6738765
27600;8948.04737883
27700;8917.58240887
27800;8549.02131314
27900;9012.93549547
28000;8898.37357625
28100;8722.18905147
28200;8412.61153744
28300;8808.97999592
28400;8688.4592727
28500;8567.04680962
28600;8034.53368553
28700;8941.48875666
28800;8649.58211023
28900;9199.11705757
29000;8582.10108688
29100;8274.19451392
29200;8885.37098638
29300;8281.52058998
29400;9671.63795046
29500;8922.68756262
29600;8596.93482044
29700;8974.32632125
29800;8353.62020731
29900;9186.95096642
30000;9110.53020989
30100;9243.74670013
30200;9206.65094647
30300;8653.71366121
30400;8709.82580258
30500;8720.78038023
30600;8922.26747886
30700;9415.86938159
30800;8616.0737456
30900;8065.26023276
31000;9045.72915879
31100;8298.93744719
31200;9765.85125919
31300;8757.95298199
31400;8198.66465333
31500;9136.03341981
31600;8345.43818389
31700;9308.82743791
31800;9052.97309937
31900;8578.65272244
32000;9289.56117033
32100;8470.87577328
32200;9116.95579412
32300;9071.69543171
32400;9236.5770913
32500;9125.44943414
32600;8853.66652408
32700;8197.62465436
32800;8422.73870911
32900;10229.5120826
33000;10471.5401245
33100;10050.4462513
33200;9984.66138547
33300;10328.3963745
33400;10138.2902126
33500;10552.3272697
33600;8487.6591081
33700;8244.84012933
33800;8474.94651765
33900;8226.81101652
34000;8610.33033731
34100;8535.02688683
34200;8433.26175109
34300;8496.86248708
34400;7982.28586504
34500;8223.03889938
34600;8108.55242593
34700;8231.97801203
34800;8178.27017631
34900;8090.42428572
35000;8041.82442618
35100;8340.32736562
35200;8004.47289115
35300;7908.8563271
35400;7796.4929887
35500;7736.05287247
35600;7915.16286664
35700;7818.40126463
35800;8087.4629582
35900;7911.51759479
36000;7802.31798611
36100;7594.39186339
36200;7431.9042976
36300;7754.27912902
36400;7724.16776764
36500;7716.25040677
36600;7710.679187
36700;7523.2612717
36800;7541.46849148
36900;7405.19685433
37000;7651.32997907
37100;7882.48500477
37200;7635.75256054
37300;7667.25873178
37400;7672.14222862
37500;7672.14008354
37600;7804.57272658
37700;7398.55998175
37800;7433.67348588
37900;7454.61505135
38000;7491.58881316
38100;7688.67150487
38200;7646.48600712
38300;7514.51799188
38400;7645.07244362
38500;7165.1772484
38600;7492.63839748
38700;7389.27113376
38800;7341.28107025
38900;7461.44014479
39000;7296.88827107
39100;7250.94253422
39200;7516.66953961
39300;7178.35044432
39400;7278.73486864
39500;7111.7820556
39600;7104.51415991
39700;7217.00378644
39800;7224.97026408
39900;7448.75358258
40000;7313.88913184
40100;7123.49674024
40200;6983.88869378
40300;6907.44873778
40400;7126.11488371
40500;7095.94014565
40600;7028.10493638
40700;6989.22588101
40800;6856.40519787
40900;7235.10991531
41000;6729.95679954
41100;6999.96094279
41200;7169.18340985
41300;7005.85140375
41400;7039.04890002
41500;7295.06462836
41600;7187.30447937
41700;7283.21051366
41800;6725.03793917
41900;6709.0946394
42000;6829.86260661
42100;6847.21759246
42200;7049.79791732
42300;6996.15934565
42400;6733.49123827
42500;6846.69749144
42600;6525.14046488
42700;6824.15458074
42800;6762.50580765
42900;6804.45800739
43000;6838.78601217
43100;6608.31341642
43200;6587.99737398
43300;6780.63454378
43400;6600.81402384
43500;6682.13019832
43600;6469.57567873
43700;6456.94949957
43800;6594.5586859
43900;6532.63475548
44000;6802.25929393
44100;4950.32183756
44200;5009.94365449
44300;4932.39665995
44400;4957.54053388
44500;5018.43288015
44600;5002.47500839
44700;4966.32193976
44800;5022.27274598
44900;4890.94822573
45000;5082.45102171
45100;4626.81785598
45200;4962.96763057
45300;5040.11331384
45400;4965.82617357
45500;4994.66471686
45600;5107.58346721
45700;5098.06161841
45800;5164.32715194
45900;4895.50200378
46000;4960.16412366
46100;4744.71106836
46200;4757.19935642
46300;4805.07301726
46400;4795.48348236
46500;4691.31263183
46600;4737.27113442
46700;4552.14975981
46800;4744.59316893
46900;4694.95766819
47000;4655.97349057
47100;4561.51240702
47200;4440.28845446
47300;4549.37463509
47400;4467.96634979
47500;4425.8075086
47600;4470.93988299
47700;4394.90745466
47800;4345.93614416
47900;4495.37694372
48000;4457.55328313
48100;4486.7576996
48200;4246.19545971
48300;4269.73544028
48400;4239.15894368
48500;4261.90573363
48600;4333.94440204
48700;4208.27306865
48800;4220.34169211
48900;4247.87698228
49000;4237.68404731
49100;4337.72557331
49200;3953.80023811
49300;4239.64585142
49400;4352.31152004
49500;4256.01732598
49600;4209.08086517
49700;4317.45349726
49800;4338.78533381
49900;4394.95021143
50000;4242.31587968
50100;4259.20534168
50200;4140.04782789
50300;4131.03065424
50400;4186.29843104
50500;4131.88693862
50600;4085.58829208
50700;4169.67148068
50800;4086.98396451
50900;4170.45243284
51000;4117.27166362
51100;4102.90251263
51200;4025.31449684
51300;3957.00153789
51400;4037.33540393
51500;3999.23268939
51600;3931.78005532
51700;4002.70036591
51800;3932.85324961
51900;3907.74322247
52000;4017.55708105
52100;3983.10574295
52200;4084.06743087
52300;3853.37938982
52400;3793.50630391
52500;3839.54804427
52600;3841.70604741
52700;3860.35154394
52800;3844.59344537
52900;3788.01843571
53000;3859.5738134
53100;3842.8434871
53200;3888.0975871
53300;3792.81327769
53400;3816.04440464
53500;3897.66018642
53600;3868.35079028
53700;3899.42707363
53800;3882.56363797
53900;3826.82618223
54000;3938.4454444
54100;3849.41124959
54200;3791.92251564
54300;3785.52208015
54400;3769.40454219
54500;3804.92531026
54600;3715.45967414
54700;3697.31208663
54800;3792.46022598
54900;3727.05841908
55000;3807.60690426
55100;3734.69730567
55200;3726.73429459
55300;3653.86017107
55400;3612.14020443
55500;3685.29248148
55600;3625.46186129
55700;3562.64659823
55800;3589.75272958
55900;3587.0560053
56000;3544.17294064
56100;3562.18114519
56200;3614.22214897
56300;3698.13447689
56400;3527.68130132
56500;3466.11280786
56600;3532.71331878
56700;3502.19247683
56800;3585.00974055
56900;3526.54151152
57000;3478.35483463
57100;3554.15863692
57200;3536.38428009
57300;3561.38807948
57400;3492.19455774
57500;3488.00561153
57600;3592.38867497
57700;3581.34010648
57800;3597.74143792
57900;3566.7703384
58000;3557.65315114
58100;3610.01479495
58200;3554.69742783
58300;3501.10101277
58400;3494.4318327
58500;3463.25339002
58600;3544.60024783
58700;3483.93604358
58800;3423.98669696
58900;3511.1130778
59000;3486.11121593
59100;3516.55153946
59200;3477.88989216
59300;3419.55730452
59400;3440.25563688
59500;3420.81438803
59600;3483.5438017
59700;3363.61164919
59800;3379.22577282
59900;3440.53881032
60000;3415.10653411
60100;3410.90560343
60200;3389.98415399
60300;3377.79631326
60400;3476.68332107
60500;3363.96933318
60600;3233.12053861
60700;3311.77684936
60800;3289.19354043
60900;3370.79832102
61000;3297.85508143
61100;3241.97615691
61200;3347.73083773
61300;3328.44909773
61400;3387.48360889
61500;3260.53666512
61600;3257.329629
61700;3364.37187216
61800;3348.292861
61900;3392.27375737
62000;3319.33154962
62100;3347.50863424
62200;3420.04885766
62300;3339.59593282
62400;3267.83893202
62500;3204.40179858
62600;3235.16383948
62700;3320.2278677
62800;3235.01760898
62900;3196.70543014
63000;3292.51487873
63100;3233.78572124
63200;3327.07984433
63300;3224.30344402
63400;3207.46014582
63500;3209.0815393
63600;3158.42221286
63700;3272.37195731
63800;3171.25328034
63900;3158.33236883
64000;3215.15204978
64100;3194.24139772
64200;3208.91260443
64300;3129.49511295
64400;3154.79804438
64500;3208.06542064
64600;3134.56074825
64700;3034.88011774
64800;3119.99996212
64900;3122.67026471
65000;3187.14875213
65100;3129.44779595
65200;3085.61166563
65300;3174.0133408
65400;3151.95758934
65500;4875.49969975
65600;4931.54398384
65700;5081.42265329
65800;5003.83438369
65900;4912.83446223
66000;5009.5164667
66100;5051.40622264
66200;5044.2255217
66300;5124.25834645
66400;4914.2526525
66500;5037.96355498
66600;4847.12735772
66700;5006.06021125
66800;5008.23831806
66900;6394.10576976
67000;12754.7127455
67100;12948.6734292
67200;6636.26886442
67300;6860.9922695
67400;6810.37650255
67500;6909.91234948
67600;6644.28724915
67700;6522.60284591
67800;6957.61491841
67900;6737.76103655
68000;6714.53100793
68100;6758.19675446
68200;6508.30167313
68300;6699.52859011
68400;6824.71242606
68500;6800.61379773
68600;6823.85299851
68700;6420.05241841
68800;6659.91385871
68900;6466.627157
69000;6701.62262079
69100;6833.33360703
69200;6661.12624679
69300;6693.72515687
69400;6672.99934049
69500;6471.45108997
69600;6949.68703251
69700;6656.49225753
69800;6909.78933884
69900;6717.01916342
70000;6507.39819906
70100;6735.39034579
70200;6702.54545455
70300;6640.4980651
70400;6883.87705706
70500;6524.86301811
70600;6759.29192984
70700;6439.24760503
70800;6683.60821596
70900;6747.42527816
71000;6476.01149629
71100;6572.89172756
71200;6702.41518732
71300;6718.54157977
71400;6865.73763122
71500;6725.21628393
71600;6641.50126348
71700;6649.30842518
71800;6416.29277285
71900;6777.03840085
72000;6691.11508425
72100;6742.85557824
72200;6550.82843023
72300;6421.6203799
72400;6635.26001585
72500;6713.2939261
72600;6678.75752856
72700;6672.94150293
72800;6407.87993882
72900;6535.12558684
73000;6371.46037687
73100;6551.3996993
73200;6724.78336694
73300;6594.14042731
73400;6554.75290033
73500;6578.10006657
73600;6411.67795626
73700;6727.79717921
73800;6491.25334771
73900;6703.55965422
74000;6677.35075933
74100;6436.31544162
74200;6830.22853461
74300;6663.71839491
74400;6585.98114311
74500;6637.58871065
74600;6493.13485762
74700;6654.50925506
74800;6573.14302438
74900;6583.62898301
75000;6666.31011751
75100;6374.97125361
75200;6524.89479449
75300;6396.67136868
75400;6598.9441519
75500;6693.71148888
75600;6614.39325147
75700;6585.58370803
75800;6525.18045298
75900;6351.8606571
76000;6692.98267135
76100;6433.4297369
76200;6685.68959766
76300;6553.31817726
76400;6322.67810239
76500;6602.29292168
76600;6555.02986804
76700;6576.92128752
76800;6582.823063
76900;6343.3382065
77000;6355.04826503
77100;6253.82128826
77200;6475.90419
77300;6583.79613809
77400;6319.85785149
77500;6435.36954639
77600;6481.95639668
77700;6479.01359369
77800;6658.59163572
77900;6392.92027187
78000;6443.91976116
78100;6643.21407917
78200;6288.43014533
78300;6721.92305937
78400;6544.3599848
78500;6570.36184444
78600;6577.64802186
78700;6429.62580943
78800;6428.33028444
78900;6460.48567225
79000;6483.00785332
79100;6500.11105428
79200;6282.38714214
79300;6327.93313315
79400;6301.12890743
79500;6569.70306788
79600;6635.07401101
79700;6528.96024062
79800;6483.40343492
79900;6320.97704938
80000;6134.66078024
80100;6532.43511538
80200;6328.07197413
80300;6482.11223609
80400;6361.21875022
80500;6168.78576768
80600;6535.76598343
80700;6421.09757209
80800;6313.41180766
80900;6276.46212162
81000;6036.66607179
81100;6212.53818867
81200;6277.04156062
81300;6309.47204552
81400;6379.60614919
81500;6081.51726693
81600;6304.92858349
81700;6100.07342926
81800;6372.041783
81900;6462.98097
82000;6180.19529138
82100;6238.12892558
82200;6321.86700668
82300;6149.82987346
82400;6530.86670514
82500;6319.47930008
82600;6405.07730243
82700;6386.68895579
82800;6197.24206267
82900;6372.91510634
83000;6297.21691026
83100;6279.97718791
83200;6399.21098314
83300;6007.08854988
83400;6182.06964251
83500;6120.2754238
83600;6306.21308551
83700;6451.0553107
83800;6145.9684855
83900;6330.21631438
84000;6255.08505399
84100;6273.72489434
84200;6429.76076496
84300;6299.83593078
84400;6213.09594986
84500;6290.36053743
84600;6027.35063972
84700;6417.56068869
84800;6265.81685745
84900;6404.5130528
85000;6168.06944003
85100;6001.02444295
85200;6195.1086988
85300;6237.17344263
85400;6200.1561595
85500;6294.17864636
85600;6090.14935039
85700;6161.0431349
85800;5971.77857561
85900;6238.11836325
86000;6286.11394525
86100;6208.05219769
86200;6158.883269
86300;6298.20166225
86400;6047.05422507
86500;6433.93559677
86600;6280.12290724
86700;6392.79437177
86800;6300.78649936
86900;6125.79990206
87000;6519.42439401
87100;6270.83168636
87200;6234.81069812
87300;6166.10242211
87400;6038.21103697
87500;6223.3967113
87600;6245.62312567
87700;6287.67094039
87800;6381.566324
87900;6094.93151197
88000;6266.71981483
88100;6046.64742416
88200;6178.53164438
88300;6330.24781056
88400;6213.33920577
88500;6215.96234713
88600;6248.33932917
88700;6055.41164233
88800;6405.51157063
88900;6227.51300502
89000;6324.07606397
89100;6124.26686539
89200;6005.92300762
89300;6188.11729955
89400;6124.91433803
89500;6188.3905592
89600;6240.2879027
89700;6018.92718033
89800;6179.34378889
89900;6001.99832289
90000;6152.97245892
90100;6284.83198937
90200;5942.55664863
90300;6152.43348717
90400;6261.74798004
90500;6206.15459102
90600;6376.55102058
90700;6221.44014751
90800;6225.7725568
90900;6257.76757674
91000;6143.48555132
91100;6438.62582072
91200;6218.14731586
91300;6205.77945407
91400;6178.20171311
91500;6079.32192335
91600;6145.97716444
91700;6275.55197539
91800;6234.24445578
91900;6330.9618651
92000;6051.08942172
92100;6239.89178028
92200;5988.51032594
92300;6234.44510659
92400;6329.79506003
92500;6175.83047444
92600;6078.98092789
92700;6170.71823427
92800;6087.05746425
92900;6324.74088502
93000;6123.99017944
93100;6304.75965235
93200;6154.88378461
93300;5991.87489869
93400;6309.94544064
93500;6156.16280023
93600;6179.55553877
93700;6016.99405889
93800;5979.5015627
93900;6063.76104623
94000;6085.62647655
94100;6166.67322797
94200;6221.3090073
94300;5937.90470064
94400;6121.30428833
94500;5997.38766154
94600;6147.712403
94700;6275.16901253
94800;6194.32298785
94900;6214.59985047
95000;6269.93691651
95100;6073.83730702
95200;6404.48301591
95300;6142.48306088
95400;6266.3309441
95500;6148.23472304
95600;6018.20317538
95700;6138.78675483
95800;6212.72567167
95900;6202.62135679
96000;6299.72500428
96100;5999.62884021
96200;6140.32275831
96300;5925.79542466
96400;6181.34281587
96500;6288.66784743
96600;5966.44074167
96700;6118.70635622
96800;6179.01668708
96900;6149.65865112
97000;6318.99533799
97100;6175.02346042
97200;6103.96969772
97300;6106.73739269
97400;5930.20800318
97500;6289.46030586
97600;6131.29266583
97700;6173.49125307
97800;6048.81401827
97900;5974.11019112
98000;6043.48743241
98100;6163.79984113
98200;6131.54813585
98300;6067.46868859
98400;5849.8834345
98500;6052.00382225
98600;5930.9060837
98700;6109.02489589
98800;6286.30741561
98900;6140.83839469
99000;6152.76817716
99100;6124.68202102
99200;5979.31750591
99300;6229.90801432
99400;6028.1117741
99500;6179.08743201
99600;6021.4448676
99700;5847.45996322
99800;6251.27604847
99900;6106.16239344
100000;6071.29161384